,id,shelf,shelf_name,division,book,book_name,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max
0,0,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Experimental data),Ag (Silver) (Experimental data),Johnson,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/Johnson.yml,0,nk,49,49,0.1879,1.937,0.1879,1.937
1,1,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Experimental data),Ag (Silver) (Experimental data),McPeak,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/McPeak.yml,0,nk,141,141,0.3,1.7,0.3,1.7
2,2,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Experimental data),Ag (Silver) (Experimental data),Babar,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/Babar.yml,0,nk,69,69,0.2066,12.4,0.2066,12.4
3,3,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Experimental data),Ag (Silver) (Experimental data),Werner,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/Werner.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
4,4,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Experimental data),Ag (Silver) (Experimental data),Stahrenberg,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/Stahrenberg.yml,0,nk,361,361,0.12782,0.49594,0.12782,0.49594
5,5,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Experimental data),Ag (Silver) (Experimental data),Windt,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/Windt.yml,0,nk,36,36,0.00236,0.12157,0.00236,0.12157
6,6,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Experimental data),Ag (Silver) (Experimental data),Hagemann,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/Hagemann.yml,0,nk,148,148,2.48e-06,248.0,2.48e-06,248.0
7,7,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Models and simulations),Ag (Silver) (Models and simulations),Rakic,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/Rakic.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398
8,8,main,MAIN - simple inorganic materials,Ag - Silver,Ag (Models and simulations),Ag (Silver) (Models and simulations),Werner-DFT,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag/Werner-DFT.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
9,9,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Rakic,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Al/Rakic.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398
