id,shelf,shelf_name,division,book,book_name,section,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max,wl_min,wl_max
0,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Johnson,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Johnson.yml,0,nk,49,49,0.1879,1.937,0.1879,1.937,0.1879,1.937
1,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Choi,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Choi.yml,0,nk,84,84,1.231,6.988,1.231,6.988,1.231,6.988
2,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Ferrera-298K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Ferrera-298K.yml,0,nk,605,605,0.245202,1.449249,0.245202,1.449249,0.245202,1.449249
3,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Ferrera-404K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Ferrera-404K.yml,0,nk,605,605,0.245202,1.449249,0.245202,1.449249,0.245202,1.449249
4,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Ferrera-501K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Ferrera-501K.yml,0,nk,605,605,0.245202,1.449249,0.245202,1.449249,0.245202,1.449249
5,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Ferrera-600K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Ferrera-600K.yml,0,nk,605,605,0.245202,1.449249,0.245202,1.449249,0.245202,1.449249
6,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Jiang,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Jiang.yml,0,nk,1701,1701,0.3,2.0,0.3,2.0,0.3,2.0
7,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Yang,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Yang.yml,0,nk,519,519,0.27,24.92,0.27,24.92,0.27,24.92
8,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",McPeak,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/McPeak.yml,0,nk,141,141,0.3,1.7,0.3,1.7,0.3,1.7
9,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Babar,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Babar.yml,0,nk,69,69,0.2066,12.4,0.2066,12.4,0.2066,12.4
10,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Wu,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Wu.yml,0,nk,450,450,0.287493,0.999308,0.287493,0.999308,0.287493,0.999308
11,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Werner,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Werner.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684,0.017586,2.479684
12,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Stahrenberg,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Stahrenberg.yml,0,nk,361,361,0.12782,0.49594,0.12782,0.49594,0.12782,0.49594
13,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Windt,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Windt.yml,0,nk,36,36,0.00236,0.12157,0.00236,0.12157,0.00236,0.12157
14,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),"Experimental data: bulk, thick film",Hagemann,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Hagemann.yml,0,nk,148,148,2.48e-06,248.0,2.48e-06,248.0,2.48e-06,248.0
15,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Experimental data: thin film,Ciesielski,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Ciesielski.yml,0,nk,333,333,0.19077,20.912,0.19077,20.912,0.19077,20.912
